playerOne,gamesWon,gamesLost,gamesPlayed,winRatio,lane,playerTwo
Malphite,8,8,16,50,BOTTOM,Twitch
Malzahar,8,15,23,34.7826086956522,BOTTOM,Twitch
Maokai,0,3,3,0,BOTTOM,Twitch
MasterYi,7,12,19,36.8421052631579,BOTTOM,Twitch
MissFortune,2165,2137,4302,50.325430032543,BOTTOM,Twitch
MonkeyKing,9,8,17,52.9411764705882,BOTTOM,Twitch
Mordekaiser,7,11,18,38.8888888888889,BOTTOM,Twitch
Morgana,14,16,30,46.6666666666667,BOTTOM,Twitch
Nami,1,0,1,100,BOTTOM,Twitch
Nasus,5,10,15,33.3333333333333,BOTTOM,Twitch
Nautilus,1,7,8,12.5,BOTTOM,Twitch
Neeko,33,32,65,50.7692307692308,BOTTOM,Twitch
Nidalee,3,3,6,50,BOTTOM,Twitch
Nilah,441,346,787,56.0355781448539,BOTTOM,Twitch
Nunu,2,3,5,40,BOTTOM,Twitch
Olaf,2,2,4,50,BOTTOM,Twitch
Orianna,2,9,11,18.1818181818182,BOTTOM,Twitch
Ornn,2,4,6,33.3333333333333,BOTTOM,Twitch
Pantheon,26,31,57,45.6140350877193,BOTTOM,Twitch
Poppy,1,0,1,100,BOTTOM,Twitch
Pyke,20,33,53,37.7358490566038,BOTTOM,Twitch
Qiyana,5,4,9,55.5555555555556,BOTTOM,Twitch
Quinn,22,20,42,52.3809523809524,BOTTOM,Twitch
Rakan,0,1,1,0,BOTTOM,Twitch
RekSai,1,0,1,100,BOTTOM,Twitch
Rell,0,1,1,0,BOTTOM,Twitch
Renata,2,7,9,22.2222222222222,BOTTOM,Twitch
Renekton,3,1,4,75,BOTTOM,Twitch
Rengar,22,34,56,39.2857142857143,BOTTOM,Twitch
Riven,3,5,8,37.5,BOTTOM,Twitch
Rumble,2,5,7,28.5714285714286,BOTTOM,Twitch
Ryze,5,7,12,41.6666666666667,BOTTOM,Twitch
Samira,2105,2075,4180,50.3588516746411,BOTTOM,Twitch
Sejuani,4,1,5,80,BOTTOM,Twitch
Senna,154,171,325,47.3846153846154,BOTTOM,Twitch
Seraphine,210,205,415,50.6024096385542,BOTTOM,Twitch
Sett,22,9,31,70.9677419354839,BOTTOM,Twitch
Shaco,3,6,9,33.3333333333333,BOTTOM,Twitch
Shen,4,0,4,100,BOTTOM,Twitch
Shyvana,3,1,4,75,BOTTOM,Twitch
Singed,10,16,26,38.4615384615385,BOTTOM,Twitch
Sion,15,19,34,44.1176470588235,BOTTOM,Twitch
Sivir,1100,1149,2249,48.910626945309,BOTTOM,Twitch
Sona,3,6,9,33.3333333333333,BOTTOM,Twitch
Soraka,8,3,11,72.7272727272727,BOTTOM,Twitch
Swain,111,133,244,45.4918032786885,BOTTOM,Twitch
Sylas,9,10,19,47.3684210526316,BOTTOM,Twitch
Syndra,23,45,68,33.8235294117647,BOTTOM,Twitch
TahmKench,65,49,114,57.0175438596491,BOTTOM,Twitch
Taliyah,8,17,25,32,BOTTOM,Twitch
Talon,2,3,5,40,BOTTOM,Twitch
Taric,1,2,3,33.3333333333333,BOTTOM,Twitch
Teemo,38,44,82,46.3414634146341,BOTTOM,Twitch
Thresh,11,16,27,40.7407407407407,BOTTOM,Twitch
Tristana,1638,1569,3207,51.0757717492984,BOTTOM,Twitch
Trundle,2,1,3,66.6666666666667,BOTTOM,Twitch
Tryndamere,3,4,7,42.8571428571429,BOTTOM,Twitch
TwistedFate,23,29,52,44.2307692307692,BOTTOM,Twitch
Udyr,2,3,5,40,BOTTOM,Twitch
Urgot,8,10,18,44.4444444444444,BOTTOM,Twitch
Varus,500,547,1047,47.7554918815664,BOTTOM,Twitch
Vayne,2286,2249,4535,50.4079382579934,BOTTOM,Twitch
Veigar,261,267,528,49.4318181818182,BOTTOM,Twitch
Velkoz,25,24,49,51.0204081632653,BOTTOM,Twitch
Vex,11,8,19,57.8947368421053,BOTTOM,Twitch
Vi,2,4,6,33.3333333333333,BOTTOM,Twitch
Viego,5,4,9,55.5555555555556,BOTTOM,Twitch
Viktor,15,24,39,38.4615384615385,BOTTOM,Twitch
Vladimir,23,20,43,53.4883720930233,BOTTOM,Twitch
Volibear,10,6,16,62.5,BOTTOM,Twitch
Warwick,2,3,5,40,BOTTOM,Twitch
Xayah,873,887,1760,49.6022727272727,BOTTOM,Twitch
Xerath,29,36,65,44.6153846153846,BOTTOM,Twitch
XinZhao,3,1,4,75,BOTTOM,Twitch
Yasuo,431,457,888,48.536036036036,BOTTOM,Twitch
Yone,44,48,92,47.8260869565217,BOTTOM,Twitch
Yorick,4,8,12,33.3333333333333,BOTTOM,Twitch
Yuumi,3,8,11,27.2727272727273,BOTTOM,Twitch
Zac,1,2,3,33.3333333333333,BOTTOM,Twitch
Zed,8,14,22,36.3636363636364,BOTTOM,Twitch
Zeri,1249,1467,2716,45.9867452135493,BOTTOM,Twitch
Ziggs,183,183,366,50,BOTTOM,Twitch
Zilean,3,3,6,50,BOTTOM,Twitch
Zoe,3,14,17,17.6470588235294,BOTTOM,Twitch
Zyra,12,11,23,52.1739130434783,BOTTOM,Twitch
Ahri,3,8,11,27.2727272727273,UTILITY,Twitch
Akali,0,1,1,0,UTILITY,Twitch
Alistar,38,25,63,60.3174603174603,UTILITY,Twitch
Amumu,11,18,29,37.9310344827586,UTILITY,Twitch
Anivia,3,4,7,42.8571428571429,UTILITY,Twitch
Annie,2,4,6,33.3333333333333,UTILITY,Twitch
Ashe,62,57,119,52.1008403361345,UTILITY,Twitch
AurelionSol,0,1,1,0,UTILITY,Twitch
Azir,1,0,1,100,UTILITY,Twitch
